state,number of drivers involved in fatal collisions per billion miles,percentage of drivers involved in fatal collisions who were speeding,percentage of drivers involved in fatal collisions who were alcohol-impaired,car insurance premiums ($),losses incurred by insurance companies for collisions per insured driver ($)
alabama,18.8,39,30,784.55,145.08
alaska,18.1,41,25,1053.48,133.93
arizona,18.6,35,28,899.47,110.35
arkansas,22.4,18,26,827.34,142.39
california,12,35,28,878.41,165.63
colorado,13.6,37,28,835.5,139.91
connecticut,10.8,46,36,1068.73,167.02
delaware,16.2,38,30,1137.87,151.48
district of columbia,5.9,34,27,1273.89,136.05
florida,17.9,21,29,1160.13,144.18
georgia,15.6,19,25,913.15,142.8
hawaii,17.5,54,41,861.18,120.92
idaho,15.3,36,29,641.96,82.75
illinois,12.8,36,34,803.11,139.15
indiana,14.5,25,29,710.46,108.92
iowa,15.7,17,25,649.06,114.47
kansas,17.8,27,24,780.45,133.8
kentucky,21.4,19,23,872.51,137.13
louisiana,20.5,35,33,1281.55,194.78
maine,15.1,38,30,661.88,96.57
maryland,12.5,34,32,1048.78,192.7
massachusetts,8.2,23,35,1011.14,135.63
michigan,14.1,24,28,1110.61,152.26
minnesota,9.6,23,29,777.18,133.35
mississippi,17.6,15,31,896.07,155.77
missouri,16.1,43,34,790.32,144.45
montana,21.4,39,44,816.21,85.15
nebraska,14.9,13,35,732.28,114.82
nevada,14.7,37,32,1029.87,138.71
new hampshire,11.6,35,30,746.54,120.21
new jersey,11.2,16,28,1301.52,159.85
new mexico,18.4,19,27,869.85,120.75
new york,12.3,32,29,1234.31,150.01
north carolina,16.8,39,31,708.24,127.82
north dakota,23.9,23,42,688.75,109.72
ohio,14.1,28,34,697.73,133.52
oklahoma,19.9,32,29,881.51,178.86
oregon,12.8,33,26,804.71,104.61
pennsylvania,18.2,50,31,905.99,153.86
rhode island,11.1,34,38,1148.99,148.58
south carolina,23.9,38,41,858.97,116.29
south dakota,19.4,31,33,669.31,96.87
tennessee,19.5,21,29,767.91,155.57
texas,19.4,40,38,1004.75,156.83
utah,11.3,43,16,809.38,109.48
vermont,13.6,30,30,716.2,109.61
virginia,12.7,19,27,768.95,153.72
washington,10.6,42,33,890.03,111.62
west virginia,23.8,34,28,992.61,152.56
wisconsin,13.8,36,33,670.31,106.62
wyoming,17.4,42,32,791.14,122.04
